ID,Taxon,Family,OvS,OvL,PuL,Vol_min,Vol_max,AnA,WIn,WiV,HPS,TrC,HSI,HPT,HPG,HPP,HPA,LEv,HPSi,ELT,ELL,ELA,FMo_Min,FMo_Max,FMo_Average,FFM,LFM,ADF,ADR,MLT,MLL,BaT,BaS
1,Iphiclides_podalirius,Papilionidae,P,SbTr,Sl,1,3,N,0.118,0.076,1,3,0.105,Wp,SbTr,Le,Ol,GlFl,NA,Se,Sb,NA,4,8,6,3,10,HfSfAn,ThSbTcExHnHf,PtLe,ShThSbNsHt,Da,BeThSb
2,Iphiclides_feisthamelii,Papilionidae,P,SbTr,NA,3,3,N,0.120,0.045,1,3,0.408,Wp,SbTr,NA,NA,Sl,NA,Se,Sb,NA,7,8,7.5,3,10,Hf,ThSbTcExHnHf,Pa,ShThSbNsHs,Da,BeShThSb
3,Papilio_alexanor,Papilionidae,P,Su,Gl,1,1,N,0.083,-0.073,8,3,0.118,BiAnHp,ShTh,FlBu,Ol,Fl,NA,NA,ShTh,NA,4,4,4,4,7,Hf,GrThSbExHnHf,Pa,RcBeThNsHs,Da,BeGrThSb
4,Papilio_machaon,Papilionidae,P,SuSsTs,GlFl,1,3,N,0.116,0.070,12,4,0.053,BiAnHpWp,ShThSb,FlLeBuSt,Ol,Fl,MpSs,Se,ShTh,Li,4,9,6.5,2,10,HfSf,ThSbExHf,Pa,ThSbNsHs,Da,ThSb
5,Papilio_hospiton,Papilionidae,P,SsTs,GlFl,1,1.5,N,0.102,-0.035,4,1,0.177,BiHp,ShTh,LeSt,SiOl,GlFl,NA,Se,Th,PsSh,3,3,3,5,7,Hf,NA,PaPtLe,RcThHt,Da,BeShTh
6,Papilio_saharae,Papilionidae,P,SsTs,GlFl,1,2,N,0.088,0.062,4,3,0.289,BiHp,ShTh,FlLeBuSt,SiOl,Fl,NA,Se,ShTh,PsSh,9,9,9,2,10,Hf,NA,PtLe,RcThHt,Da,BeShGrTh
7,Parnassius_mnemosyne,Papilionidae,E,SsTs,BuGl,1,1,N,0.068,0.074,1,2,0.354,BiAnHp,Sh,Le,NA,Gl,NA,Se,Sh,NA,3,5,3,4,8,Hf,GrHf,Pa,ThSbNsHs,Da,GrTh
8,Parnassius_phoebus,Papilionidae,EL,Su,GlFl,1,1,N,0.086,0.035,2,4,0.158,Hp,Sh,Le,SiOl,GlFl,NA,Se,ShTh,NA,3,3,3,6,8,Hf,BgStShExHf,Pa,RcBeShGrThHs,Da,BeSh
9,Parnassius_apollo,Papilionidae,EL,BuSu,BuGl,1,1,N,0.117,0.123,3,3,0.204,BiAnHp,Sh,LeBu,SiOl,Gl,NA,SeSb,Sh,NA,4,5,4.5,5,9,Hf,BgShThSbExHf,Pa,RcThNsHs,Da,BeThSb
10,Archon_apollinus,Papilionidae,P,Bu,Bu,1,1,N,0.056,-0.054,1,2,0.577,Hp,Sh,NA,NA,Fl,NA,Sb,NA,NA,2,5,3.5,2,6,Hf,BgGrShHf,NA,NA,Da,BeShGr
